佳松園,7142636,39.455435107,141.06669277,日本, 〒025-0304 岩手県花巻市湯本第１地割１２５−２,
ホテル千秋閣,55816714,39.451571287,141.069934444,日本, 〒025-0304 岩手県花巻市湯本第１地割１２５,
大沢温泉自炊部,5431846,39.436813727,141.01567607,日本, 〒025-0244 岩手県花巻市湯口大沢１７１−１７,
セブンイレブン 花巻インター店,80976877,39.440833133,141.118574739,日本, 〒025-0312 岩手県花巻市二枚橋第３地割２５８,
山の神温泉 優香苑,5709102,39.45230502,141.004719082,日本, 〒025-0253 岩手県花巻市下シ沢中野５３,
蕎麦房かみや,93270499,39.453708115,141.0549469,日本, 〒025-0305 岩手県花巻市台 県道123号線,
游泉 志だて,19667286,39.417430452,141.011517048,日本, 〒025-0244 岩手県花巻市湯口志戸平１１−２,
やまゆりの宿,15844200,39.453334431,141.054491287,日本, 〒025-0305 岩手県花巻市台第２地割５７−９,
葛丸川橋,172197418,39.476481413,141.138921976,日本, 〒028-3171 岩手県花巻市石鳥谷町中寺林第８地割 奥州街道(陸羽街道),
ホテル花巻,853615,39.452224335,141.068978078,日本, 〒025-0304 岩手県花巻市湯本第１地割１２５−１７,
お食事処 ふじた,207183727,39.426937011,141.130898693,日本, 〒025-0002 岩手県花巻市 奥州街道(陸羽街道),
中嶋旅館,10648200,39.454866226,141.05208856,日本, 〒025-0305 岩手県花巻市台 県道123号線,
御所湖,767948,39.675484394,141.013598442,日本, 〒020-0055 岩手県盛岡市繋萪内沢 県道172号線,
大観の湯,17299813,39.676495,141.021171,日本, 〒020-0055 岩手県盛岡市繋清水端３２,
繋大橋,396794,39.679935147,141.018104553,日本, 岩手県 県道219号線,
ホテル大観,3749103,39.676186294,141.022610664,日本, 〒020-0055 岩手県盛岡市繋湯ノ舘３７−１,
手つなぎ広場,12575729,39.676855157,141.020572186,日本, 〒020-0055 岩手県盛岡市繋清水端 県道219号線,
旅染屋 山いち,5551954,39.675542197,141.020314693,日本, 〒020-0055 岩手県盛岡市繋舘市８３−１,
つなぎ温泉観光協会,197729300,39.676151029,141.020072662,日本, 〒020-0055 岩手県盛岡市繋 県道172号線,
清温荘,39072131,39.674931126,141.021344662,日本, 〒020-0055 岩手県盛岡市繋湯ノ舘５,
つなぎ温泉バス待合室,3928241,39.675822958,141.019724607,日本, 〒020-0055 岩手県盛岡市繋舘市 県道172号線,
繋温泉,106787608,39.673146152,141.021976144,日本, 〒020-0055 岩手県盛岡市繋塗沢４０,
つなぎ温泉　愛真館,8416779,39.672817089,141.022216083,日本, 〒020-0055 岩手県盛岡市繋塗沢４０,
猫石,46970254,39.674283,141.021542,日本, 〒020-0055 岩手県盛岡市繋舘市８４−１,
つなぎ足湯,112701128,39.673789053,141.021193852,日本, 〒020-0055 岩手県盛岡市繋舘市６８,
ホテル紫苑,3887123,39.67912594,141.025453806,日本, 〒020-0055 岩手県盛岡市繋湯ノ舘７４,
おちあい足湯,90424652,39.673479256,141.021854549,日本, 〒020-0055 岩手県盛岡市繋舘市６３,
愛真館 縄文の湯,140367050,39.672915196,141.021764957,日本, 〒020-0055 岩手県盛岡市繋塗沢４０,
繋温泉神社,28950911,39.67321762,141.023423374,日本, 〒020-0055 岩手県盛岡市繋湯ノ舘１４６,
